date,crude_oil_avg,coal_australia,natural_gas_us,fertiliser_urea,phosphate_rock
2001-05-06,25.36633832833846,33.69230769230769,4.373846153846154,92.3,44.0
2001-05-13,25.296005994006155,33.73076923076923,4.214615384615384,91.7,44.0
2001-05-20,25.225673659673845,33.76923076923077,4.055384615384615,91.1,44.0
2001-05-27,25.15534132534154,33.80769230769231,3.896153846153846,90.5,44.0
2001-06-03,25.085008991009232,33.84615384615385,3.736923076923077,89.9,44.0
2001-06-10,25.014676656676922,33.88461538461539,3.5776923076923075,89.3,44.0
2001-06-17,24.944344322344616,33.92307692307692,3.418461538461538,88.7,44.0
2001-06-24,24.874011988012306,33.96153846153846,3.2592307692307694,88.1,44.0
2001-07-01,24.80367965368,34.0,3.1,87.5,44.0
2001-07-08,24.86068152248508,33.81475409836066,3.107704918032787,87.59016393442623,44.0
2001-07-15,24.917683391290165,33.62950819672131,3.1154098360655738,87.68032786885246,44.0
2001-07-22,24.974685260095246,33.44426229508197,3.123114754098361,87.77049180327869,44.0
2001-07-29,25.031687128900327,33.25901639344262,3.1308196721311474,87.86065573770492,44.0
2001-08-05,25.08868899770541,33.07377049180328,3.1385245901639345,87.95081967213115,44.0
2001-08-12,25.145690866510492,32.88852459016393,3.1462295081967215,88.04098360655738,44.0
2001-08-19,25.202692735315573,32.70327868852459,3.153934426229508,88.1311475409836,44.0
2001-08-26,25.259694604120654,32.51803278688524,3.161639344262295,88.22131147540983,44.0
2001-09-02,25.316696472925738,32.3327868852459,3.169344262295082,88.31147540983606,44.0
2001-09-09,25.37369834173082,32.14754098360656,3.177049180327869,88.40163934426229,44.0
2001-09-16,25.4307002105359,31.962295081967213,3.184754098360656,88.49180327868852,44.0
2001-09-23,25.487702079340984,31.777049180327868,3.1924590163934425,88.58196721311475,44.0
2001-09-30,25.544703948146065,31.591803278688523,3.2001639344262296,88.67213114754098,44.0
2001-10-07,25.601705816951146,31.40655737704918,3.2078688524590167,88.76229508196721,44.0
2001-10-14,25.65870768575623,31.221311475409838,3.2155737704918033,88.85245901639344,44.0
2001-10-21,25.71570955456131,31.036065573770493,3.2232786885245903,88.94262295081967,44.0
2001-10-28,25.772711423366392,30.85081967213115,3.230983606557377,89.0327868852459,44.0
2001-11-04,25.829713292171476,30.665573770491804,3.238688524590164,89.12295081967213,44.0
2001-11-11,25.886715160976557,30.48032786885246,3.246393442622951,89.21311475409836,44.0
2001-11-18,25.943717029781638,30.295081967213115,3.2540983606557377,89.30327868852459,44.0
2001-11-25,26.000718898586722,30.10983606557377,3.2618032786885247,89.39344262295081,44.0
2001-12-02,26.057720767391803,29.924590163934425,3.2695081967213113,89.48360655737704,44.0
2001-12-09,26.114722636196884,29.73934426229508,3.2772131147540984,89.57377049180327,44.0
2001-12-16,26.171724505001965,29.554098360655736,3.2849180327868854,89.6639344262295,44.0
2001-12-23,26.22872637380705,29.368852459016395,3.292622950819672,89.75409836065573,44.0
2001-12-30,26.28572824261213,29.18360655737705,3.300327868852459,89.84426229508196,44.0
2002-01-06,26.34273011141721,28.998360655737706,3.3080327868852457,89.93442622950819,44.0
2002-01-13,26.399731980222295,28.81311475409836,3.3157377049180328,90.02459016393442,44.0
2002-01-20,26.456733849027376,28.627868852459017,3.32344262295082,90.11475409836065,44.0
2002-01-27,26.513735717832457,28.442622950819672,3.3311475409836064,90.20491803278688,44.0
2002-02-03,26.57073758663754,28.257377049180327,3.3388524590163935,90.29508196721312,44.0
2002-02-10,26.627739455442622,28.072131147540983,3.34655737704918,90.38524590163935,44.0
2002-02-17,26.684741324247703,27.886885245901638,3.354262295081967,90.47540983606558,44.0
2002-02-24,26.741743193052788,27.701639344262293,3.361967213114754,90.56557377049181,44.0
2002-03-03,26.79874506185787,27.516393442622952,3.369672131147541,90.65573770491804,44.0
2002-03-10,26.85574693066295,27.331147540983608,3.377377049180328,90.74590163934427,44.0
2002-03-17,26.91274879946803,27.145901639344263,3.3850819672131145,90.8360655737705,44.0
2002-03-24,26.969750668273115,26.96065573770492,3.3927868852459016,90.92622950819673,44.0
2002-03-31,27.026752537078195,26.775409836065574,3.4004918032786886,91.01639344262296,44.0
2002-04-07,27.083754405883276,26.59016393442623,3.408196721311475,91.10655737704919,44.0
2002-04-14,27.14075627468836,26.404918032786885,3.4159016393442623,91.19672131147541,44.0
2002-04-21,27.19775814349344,26.21967213114754,3.4236065573770493,91.28688524590164,44.0
2002-04-28,27.254760012298522,26.034426229508195,3.431311475409836,91.37704918032787,44.0
2002-05-05,27.311761881103607,25.84918032786885,3.439016393442623,91.4672131147541,44.0
2002-05-12,27.368763749908688,25.66393442622951,3.4467213114754096,91.55737704918033,44.0
2002-05-19,27.42576561871377,25.478688524590165,3.4544262295081967,91.64754098360656,44.0
2002-05-26,27.482767487518853,25.29344262295082,3.4621311475409837,91.73770491803279,44.0
2002-06-02,27.539769356323934,25.108196721311476,3.4698360655737703,91.82786885245902,44.0
2002-06-09,27.596771225129014,24.92295081967213,3.4775409836065574,91.91803278688525,44.0
2002-06-16,27.6537730939341,24.737704918032787,3.485245901639344,92.00819672131148,44.0
2002-06-23,27.71077496273918,24.552459016393442,3.492950819672131,92.09836065573771,44.0
2002-06-30,27.76777683154426,24.367213114754097,3.500655737704918,92.18852459016394,44.0
2002-07-07,27.82477870034934,24.181967213114753,3.5083606557377047,92.27868852459017,44.0
2002-07-14,27.881780569154426,23.996721311475408,3.516065573770492,92.3688524590164,44.0
2002-07-21,27.938782437959507,23.811475409836067,3.5237704918032784,92.45901639344262,44.0
2002-07-28,27.995784306764588,23.626229508196722,3.5314754098360654,92.54918032786885,44.0
2002-08-04,28.052786175569672,23.440983606557378,3.5391803278688525,92.63934426229508,44.0
2002-08-11,28.109788044374753,23.255737704918033,3.546885245901639,92.72950819672131,44.0
2002-08-18,28.166789913179834,23.07049180327869,3.554590163934426,92.81967213114754,44.0
2002-08-25,28.223791781984918,22.885245901639344,3.562295081967213,92.90983606557377,44.0
2002-09-01,28.28079365079,22.7,3.57,93.0,44.0
2002-09-08,28.25050061049692,22.838461538461537,3.6599999999999997,93.49038461538461,44.0
2002-09-15,28.220207570203844,22.976923076923075,3.75,93.98076923076923,44.0
2002-09-22,28.18991452991077,23.115384615384613,3.84,94.47115384615384,44.0
2002-09-29,28.15962148961769,23.253846153846155,3.9299999999999997,94.96153846153847,44.0
2002-10-06,28.129328449324614,23.392307692307693,4.02,95.45192307692308,44.0
2002-10-13,28.099035409031536,23.53076923076923,4.11,95.9423076923077,44.0
2002-10-20,28.068742368738462,23.66923076923077,4.2,96.4326923076923,44.0
2002-10-27,28.038449328445385,23.807692307692307,4.29,96.92307692307692,44.0
2002-11-03,28.008156288152307,23.946153846153845,4.38,97.41346153846153,44.0
2002-11-10,27.97786324785923,24.084615384615386,4.47,97.90384615384616,44.0
2002-11-17,27.947570207566155,24.223076923076924,4.5600000000000005,98.39423076923077,44.0
2002-11-24,27.917277167273078,24.361538461538462,4.65,98.88461538461539,44.0
2002-12-01,27.88698412698,24.5,4.74,99.375,44.0
2002-12-08,27.88814407814,24.484615384615385,4.779688653846154,100.70288461538462,44.0
2002-12-15,27.8893040293,24.46923076923077,4.819377307692308,102.03076923076924,44.0
2002-12-22,27.890463980459998,24.453846153846154,4.8590659615384615,103.35865384615384,44.0
2002-12-29,27.89162393162,24.43846153846154,4.8987546153846155,104.68653846153846,44.0
2003-01-05,27.89278388278,24.423076923076923,4.93844326923077,106.01442307692308,44.0
2003-01-12,27.89394383394,24.407692307692308,4.978131923076924,107.3423076923077,44.0
2003-01-19,27.895103785099998,24.392307692307693,5.017820576923077,108.6701923076923,44.0
2003-01-26,27.89626373626,24.376923076923077,5.057509230769231,109.99807692307692,44.0
2003-02-02,27.89742368742,24.361538461538462,5.097197884615385,111.32596153846154,44.0
2003-02-09,27.89858363858,24.346153846153847,5.136886538461539,112.65384615384616,44.0
2003-02-16,27.899743589739998,24.33076923076923,5.176575192307692,113.98173076923077,44.0
2003-02-23,27.9009035409,24.315384615384616,5.216263846153846,115.30961538461538,44.0
2003-03-02,27.90206349206,24.3,5.2559525,116.6375,44.0
2003-03-09,27.90322344322,24.284615384615385,5.295641153846154,117.96538461538462,44.0
2003-03-16,27.904383394379998,24.26923076923077,5.3353298076923075,119.29326923076923,44.0
2003-03-23,27.90554334554,24.253846153846155,5.3750184615384615,120.62115384615385,44.0
2003-03-30,27.9067032967,24.23846153846154,5.414707115384616,121.94903846153846,44.0
2003-04-06,27.90786324786,24.223076923076924,5.45439576923077,123.27692307692308,44.0
